order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR34203601,01-03-2022,789203,25891601,110,04-03-2022,04-03-2022,110,1,1,1
FMR32320302,01-03-2022,789320,25891203,347,02-03-2022,02-03-2022,347,1,1,1
FMR33320501,01-03-2022,789320,25891203,187,03-03-2022,03-03-2022,150,0,1,0
FMR34220601,01-03-2022,789220,25891203,235,04-03-2022,04-03-2022,235,1,1,1
FMR33703603,01-03-2022,789703,25891203,176,03-03-2022,03-03-2022,176,1,1,1
FMR33721603,01-03-2022,789721,25891203,345,03-03-2022,03-03-2022,345,1,1,1
FMR33420203,01-03-2022,789420,25891203,138,03-03-2022,06-03-2022,138,1,0,0
FMR34420402,01-03-2022,789420,25891203,381,04-03-2022,05-03-2022,381,1,0,0
FMR32403401,01-03-2022,789403,25891203,348,02-03-2022,02-03-2022,348,1,1,1
FMR34121203,01-03-2022,789121,25891203,480,04-03-2022,06-03-2022,480,1,0,0
FMR32501601,01-03-2022,789501,25891203,478,02-03-2022,02-03-2022,478,1,1,1
FMR34501203,01-03-2022,789501,25891203,491,04-03-2022,04-03-2022,491,1,1,1
FMR34102602,01-03-2022,789102,25891203,407,04-03-2022,04-03-2022,387,0,1,0
FMR33902203,01-03-2022,789902,25891203,299,03-03-2022,03-03-2022,299,1,1,1
FMR34903603,01-03-2022,789903,25891203,329,04-03-2022,04-03-2022,329,1,1,1
FMR32421203,01-03-2022,789421,25891203,441,02-03-2022,03-03-2022,419,0,0,0
FMR33421203,01-03-2022,789421,25891203,104,03-03-2022,06-03-2022,99,0,0,0
FMR33402203,01-03-2022,789402,25891203,491,03-03-2022,05-03-2022,491,1,0,0
FMR33621603,01-03-2022,789621,25891203,138,03-03-2022,03-03-2022,138,1,1,1
FMR34520301,01-03-2022,789520,25891203,172,04-03-2022,04-03-2022,155,0,1,0
FMR33702302,01-03-2022,789702,25891302,38,03-03-2022,03-03-2022,30,0,1,0
FMR32320302,01-03-2022,789320,25891302,54,02-03-2022,02-03-2022,54,1,1,1
FMR34603302,01-03-2022,789603,25891302,37,04-03-2022,04-03-2022,37,1,1,1
